#    L    TT             EE             TE             PP             TP          
   282    0.48371E+04    0.63456E+01    0.11116E+03    0.19321E+07    0.13218E+04
   283    0.48052E+04    0.65034E+01    0.11214E+03    0.19245E+07    0.13105E+04
   284    0.47729E+04    0.66631E+01    0.11310E+03    0.19169E+07    0.12993E+04
   285    0.47404E+04    0.68247E+01    0.11402E+03    0.19094E+07    0.12881E+04
   286    0.47076E+04    0.69882E+01    0.11491E+03    0.19019E+07    0.12770E+04
   287    0.46745E+04    0.71535E+01    0.11577E+03    0.18945E+07    0.12660E+04
   288    0.46413E+04    0.73206E+01    0.11659E+03    0.18871E+07    0.12551E+04
   289    0.46078E+04    0.74894E+01    0.11738E+03    0.18797E+07    0.12442E+04
   290    0.45742E+04    0.76598E+01    0.11814E+03    0.18724E+07    0.12334E+04
   291    0.45404E+04    0.78325E+01    0.11886E+03    0.18652E+07    0.12227E+04
   292    0.45061E+04    0.80064E+01    0.11955E+03    0.18579E+07    0.12121E+04
   293    0.44720E+04    0.81812E+01    0.12019E+03    0.18508E+07    0.12015E+04
   294    0.44376E+04    0.83582E+01    0.12081E+03    0.18436E+07    0.11910E+04
   295    0.44032E+04    0.85361E+01    0.12138E+03    0.18366E+07    0.11806E+04
   296    0.43686E+04    0.87163E+01    0.12192E+03    0.18295E+07    0.11702E+04
   297    0.43338E+04    0.88965E+01    0.12243E+03    0.18225E+07    0.11599E+04
   298    0.42988E+04    0.90791E+01    0.12289E+03    0.18155E+07    0.11497E+04
   299    0.42638E+04    0.92632E+01    0.12331E+03    0.18086E+07    0.11396E+04
   300    0.42287E+04    0.94474E+01    0.12369E+03    0.18017E+07    0.11295E+04
   301    0.41935E+04    0.96331E+01    0.12405E+03    0.17949E+07    0.11195E+04
   302    0.41583E+04    0.98196E+01    0.12437E+03    0.17881E+07    0.11096E+04
   303    0.41230E+04    0.10008E+02    0.12464E+03    0.17814E+07    0.10997E+04
   304    0.40877E+04    0.10197E+02    0.12487E+03    0.17746E+07    0.10899E+04
   305    0.40523E+04    0.10387E+02    0.12506E+03    0.17680E+07    0.10802E+04
   306    0.40169E+04    0.10577E+02    0.12522E+03    0.17613E+07    0.10706E+04
   307    0.39815E+04    0.10769E+02    0.12532E+03    0.17547E+07    0.10610E+04
   308    0.39460E+04    0.10962E+02    0.12541E+03    0.17482E+07    0.10515E+04
   309    0.39107E+04    0.11155E+02    0.12544E+03    0.17417E+07    0.10420E+04
   310    0.38753E+04    0.11348E+02    0.12544E+03    0.17352E+07    0.10326E+04
   311    0.38399E+04    0.11543E+02    0.12539E+03    0.17287E+07    0.10233E+04
   312    0.38047E+04    0.11737E+02    0.12531E+03    0.17223E+07    0.10141E+04
   313    0.37694E+04    0.11932E+02    0.12518E+03    0.17159E+07    0.10049E+04
   314    0.37342E+04    0.12128E+02    0.12502E+03    0.17096E+07    0.99583E+03
   315    0.36991E+04    0.12323E+02    0.12482E+03    0.17033E+07    0.98681E+03
   316    0.36641E+04    0.12519E+02    0.12457E+03    0.16970E+07    0.97785E+03
   317    0.36291E+04    0.12714E+02    0.12429E+03    0.16908E+07    0.96896E+03
   318    0.35943E+04    0.12911E+02    0.12396E+03    0.16846E+07    0.96015E+03
   319    0.35595E+04    0.13107E+02    0.12360E+03    0.16784E+07    0.95140E+03
   320    0.35250E+04    0.13303E+02    0.12320E+03    0.16723E+07    0.94272E+03
   321    0.34905E+04    0.13500E+02    0.12276E+03    0.16662E+07    0.93411E+03
